Student,LPIPS,SSIM
112590029.png,0.0,1.0
112590013.png,0.1843041479587555,0.7926087987178102
112590056.png,0.18461810052394867,0.7840558861499476
112590012.png,0.25125616788864136,0.7647433109007226
112590003.png,0.2561771273612976,0.7806562344795375
112590044.png,0.2824362516403198,0.7001985349655863
112590038.png,0.28584033250808716,0.6957003661073854
112590059.png,0.29057082533836365,0.6987463915848308
112590023.png,0.2961873412132263,0.7170063445371477
112590017.png,0.29841259121894836,0.6700232457120624
112590007.png,0.2998819053173065,0.6680349832735893
112590036.png,0.300633043050766,0.7001368536093574
112590041.png,0.3022608458995819,0.6704874627288723
112590060.png,0.30489420890808105,0.6950921611380911
112590014.png,0.31880125403404236,0.6905054053650755
112590005.png,0.3483397364616394,0.644865073294877
109810011.png,0.35715052485466003,0.6197287929429272
110590456.png,0.3613915741443634,0.641965848359432
112590033.png,0.377913236618042,0.6704867817300757
112590004.png,0.37971916794776917,0.6463775903808253
112ab0053.png,0.3882105350494385,0.6778342979647101
112590035.png,0.40481773018836975,0.6001077446397217
112590022.png,0.4137434959411621,0.5875437489458862
111332012.png,0.42645594477653503,0.5933583620137293
112590026.png,0.4285745918750763,0.5923550305011474
112590009.png,0.4374719560146332,0.5883384309939014
110590041.png,0.43929848074913025,0.6463651426720672
112590021.png,0.4421408176422119,0.5491887590635159
112590020.png,0.4498559534549713,0.5505693559213513
112590057.png,0.4603593051433563,0.5531991860789933
110820009.png,0.47575002908706665,0.5661867827094625
111820017.jpg,0.4794192314147949,0.5799258495937406
113378043.png,0.493665486574173,0.5825736247678042
112590051.png,0.4973985552787781,0.4682610933981712
112590052.png,0.5069869756698608,0.45017469751161393
112590030.png,0.5124508738517761,0.5749581822142447
112590031.png,0.5184836387634277,0.44847481942327666
112590018.png,0.5277103185653687,0.46108927865091404
112590024.png,0.5350553393363953,0.47506474506308577
112590053.png,0.5363662242889404,0.4512199110311165
